性别,大学,入学年,J值
M,西北农林科技大学,2016,317
F,广西师范大学,2017,304
M,兰州理工大学,2017,82
M,西北农林科技大学,2016,319
M,武汉商学院,2017,18
M,贵州理工学院,2016,396
F,兰州理工大学,2015,446
F,桂林理工大学,2017,455
M,桂林理工大学,2017,235
M,桂林理工大学,2017,146
F,西北农林科技大学,2015,298
M,西北农林科技大学,2016,307
M,广西民族大学,2016,145
F,西藏民族大学,2015,92
M,沧州师范学院,2017,18
M,桂林理工大学,2016,268
M,桂林理工大学,2017,123
M,陕西科技大学,2012,142
M,山东理工大学,2017,240
M,广西农业职业技术学院,2016,186
M,内蒙古工业大学,2016,14
F,柳州城市职业学院,2017,177
M,西北农林科技大学,2017,308
F,西北农林科技大学,2017,197
F,西藏民族大学,2015,62
M,成都航空职业技术学院,2017,440
F,广西师范大学,2017,171
M,西北工业大学,2017,151
F,阿坝师范学院,2016,1656
M,成都学院,2015,1092
F,贵阳中医学院,2016,188
F,广西农业职业技术学院,2017,202
F,昆明学院,2014,841
M,西北农林科技大学,2017,171
M,广西师范学院,2017,270
M,西北农林科技大学,2016,413
F,广东科学技术职业学院,2017,88
M,昆明学院,2014,658
M,德宏职业学院,2017,8
M,广西师范大学,2016,601
M,贵州理工学院,2017,68
M,贵州工程应用技术学院,2017,96
F,西藏民族大学,2015,94
M,桂林理工大学,2015,189
M,桂林理工大学,2017,148
M,西北农林科技大学,2016,682
M,曲靖师范学院,2017,24
M,广州大学,2017,58
M,河北交通职业技术学院,2017,40
M,山东师范大学,2017,110
M,桂林理工大学,2016,365
M,哈尔滨师范大学,2015,30
F,柳州城市职业学院,2017,133
M,广西师范大学,2017,182
F,广西经贸职业技术学院,2017,628
M,四川信息职业技术学院,2016,693
F,柳州城市职业学院,2017,60
M,黔南民族师范学院,2017,271
M,武汉理工大学,2017,91
F,贵州工程应用技术学院,2017,202
F,西北农林科技大学,2016,377
M,兰州理工大学,2016,728
F,贵州职业技术学院,2017,134
