性别,大学,入学年,J值
M,聊城大学,2018,22
F,广西师范大学,2017,258
F,河北农业大学,2018,60
F,西南石油大学,2018,38
M,湖南师范大学,2018,24
M,南京邮电大学,2018,8
M,广西师范大学,2016,541
F,南京邮电大学,2018,37
M,广西电力职业技术学院,2018,38
F,西南石油大学,2018,24
M,河北农业大学,2018,28
M,陕西科技大学,2018,53
M,杭州电子科技大学信息工程学院,2017,139
M,东莞理工学院城市学院,2018,46
F,贵州大学,2018,40
M,河北师范大学,2018,17
F,陕西科技大学,2017,614
F,贵州理工学院,2017,1180
M,西南医科大学,2018,16
M,南京邮电大学,2018,54
F,河北农业大学,2018,30
F,安徽师范大学,2018,2
F,陕西科技大学,2018,32
M,南京邮电大学,2018,36
M,贵州大学,2018,20
M,陕西科技大学,2018,53
M,西南石油大学,2018,10
M,云南大学,2018,18
F,西南石油大学,2018,18
M,西南石油大学,2018,18
M,西南石油大学,2018,34
M,南京邮电大学,2018,68
M,湘南学院,2018,41
M,南京邮电大学,2018,28
F,石河子大学,2017,3346
M,赤峰学院,2018,6
M,河北交通职业技术学院,2018,16
M,山东大学,2016,44
F,西南石油大学,2018,42
F,河北师范大学,2018,14
M,西南石油大学,2018,36
M,广州科技贸易职业学院,2018,36
M,西南石油大学,2018,22
M,河北科技大学,2018,41
M,南京邮电大学,2018,18
M,川北医学院,2018,16
M,河北师范大学,2018,26
M,贵州大学,2018,80
M,南京邮电大学,2018,22
F,广西师范大学,2017,13339
M,广西师范大学,2016,2032
F,西南医科大学,2016,8422
F,贵州大学,2018,28
F,广西经贸职业技术学院,2017,3813
M,川北医学院,2018,14
M,河北农业大学,2018,18
M,南京邮电大学,2018,10
M,西南石油大学,2018,16
M,北华航天工业学院,2017,38
M,黎明职业大学,2018,28
M,南京邮电大学,2018,28
F,南京邮电大学,2018,
M,西南石油大学,2018,39
M,西南科技大学,2017,358
M,西南石油大学,2018,124
M,南京邮电大学,2018,2
M,广西机电职业技术学院,2017,2054
M,南京邮电大学,2018,20
M,湖南工业大学,2018,12
F,湖南工业大学,2018,26
F,湖南师范大学,2018,56
M,贵州工程应用技术学院,2017,79
M,南京邮电大学,2018,2
M,南京邮电大学,2018,2
M,南京邮电大学,2018,24
M,河北科技大学,2018,11
M,内蒙古大学,2018,44
F,陕西科技大学,2018,99
M,南京邮电大学,2018,40
M,湖南师范大学,2018,18
M,南京邮电大学,2018,100
M,华南农业大学,2018,25
M,湖南师范大学,2018,19
M,河北师范大学,2018,20
F,沈阳农业大学,2017,393
M,安徽师范大学,2018,26
M,湖南工业大学,2018,44
M,陕西科技大学,2018,8
M,聊城大学,2018,22
M,南京邮电大学,2018,26
M,西南石油大学,2018,38
M,河北师范大学,2018,2
M,赤峰学院,2018,24
F,东北石油大学,2018,36
M,南京邮电大学,2018,6
M,西南石油大学,2018,24
F,广西师范学院,2016,3369
M,东莞理工学院城市学院,2015,24
M,陕西科技大学,2018,38
F,湖南文理学院,2018,90
F,湖南工业大学,2018,18
M,南京邮电大学,2018,6
M,皖西学院,2017,904
F,广西师范大学,2017,2566
M,西南石油大学,2018,26
M,聊城大学,2018,24
M,内蒙古大学,2018,6
F,曲靖师范学院,2017,126
M,南京邮电大学,2018,26
M,西南石油大学,2018,8
M,上海海洋大学,2017,2267
M,南京邮电大学,2018,14
M,南京邮电大学,2018,17
M,安徽师范大学,2018,30
M,南京邮电大学,2018,34
M,贵州大学,2018,22
M,湖南师范大学,2018,2
M,南京邮电大学,2018,26
M,河北师范大学,2018,26
F,石家庄学院,2017,717
M,赤峰学院,2018,54
M,兰州理工大学,2017,595
F,广西师范大学,2017,4034
M,广西科技大学鹿山学院,2017,161
M,湘南学院,2017,90
M,河北农业大学,2018,22
M,赤峰学院,2018,10
M,赤峰学院,2018,22
F,佛山科学技术学院,2017,330
M,西南石油大学,2018,36
M,南京邮电大学,2018,26
M,西南石油大学,2018,18
M,南京邮电大学,2018,34
F,陕西科技大学,2017,264
F,河北农业大学,2018,43
M,南京邮电大学,2018,10
M,湖南工业大学,2018,36
M,聊城大学,2017,140
F,赤峰学院,2018,8
F,河北师范大学,2018,28
F,安徽师范大学,2018,36
F,西南石油大学,2018,34
M,黑龙江八一农垦大学,2018,30
F,湖南财政经济学院,2017,233
M,大连海事大学,2018,25
M,广东第二师范学院,2018,10
M,赤峰学院,2018,6
M,云南大学,2018,10
M,南京邮电大学,2018,20
M,广西大学,2016,324
F,河北科技大学,2018,30
M,川北医学院,2018,6
M,西南医科大学,2018,8
F,湖南工业大学,2018,35
M,河北科技大学,2018,31
F,广西中医药大学,2016,3878
M,江苏第二师范学院,2018,3
F,西华大学,2017,2257
M,内蒙古大学,2018,75
M,中国医科大学,2018,24
F,广西师范大学,2017,289
M,南京邮电大学,2018,6
M,西南医科大学,2018,32
M,西南石油大学,2018,25
M,内蒙古大学,2018,22
M,南京邮电大学,2018,18
M,西南医科大学,2018,76
F,贵州大学,2018,20
M,河北科技大学,2018,34
M,陕西科技大学,2018,42
F,聊城大学,2018,28
F,内蒙古大学,2018,31
M,广西师范大学,2016,587
M,广西师范大学,2016,1071
M,山东理工大学,2018,42
M,南宁学院,2017,1774
F,西南石油大学,2018,48
F,安徽师范大学,2017,908
M,西南石油大学,2018,26
M,西华大学,2018,16
F,成都纺织高等专科学校,2018,96
M,贺州学院,2016,2869
M,川北医学院,2018,26
M,杭州电子科技大学,2018,18
M,湖南文理学院,2018,8
M,华南农业大学,2018,14
F,石河子大学,2016,631
M,西南石油大学,2018,16
M,杭州电子科技大学,2018,138
M,佛山科学技术学院,2018,77
M,湖南工业大学,2018,14
M,湖南工业大学,2018,20
M,西南医科大学,2018,12
F,西南科技大学,2015,10282
M,贵州大学,2018,2
M,赤峰学院,2018,30
F,陕西科技大学,2018,22
M,南京邮电大学,2018,16
M,陕西科技大学,2016,3910
M,湖南工业大学,2018,16
M,佛山科学技术学院,2018,30
M,贵州民族大学,2017,124
F,四川现代职业学院,2017,946
M,湖南工业大学,2018,20
F,湖南文理学院,2018,35
M,湖南工业大学,2018,28
M,南京邮电大学,2018,16
F,西南医科大学,2018,44
M,西南石油大学,2018,26
M,昆明理工大学,2017,72
F,湖南文理学院,2018,42
M,南京邮电大学,2018,26
F,广西教育学院,2016,384
M,西南石油大学,2018,38
F,广西师范大学,2017,500
F,华北水利水电大学,2018,22
M,安徽科技学院,2016,1836
M,赤峰学院,2018,32
F,陕西科技大学,2018,60
M,陕西科技大学,2017,330
M,南京邮电大学,2018,2
M,山东理工大学,2017,879
M,湖南师范大学,2018,24
M,湖南工业大学,2018,20
M,广西中医药大学赛恩斯新医药学院,2017,330
M,南京邮电大学,2018,20
M,黑龙江八一农垦大学,2018,34
M,内蒙古大学,2018,42
M,西南石油大学,2018,34
M,昆明理工大学,2018,30
F,广西师范学院,2017,131
F,湖南师范大学,2018,38
F,安徽师范大学,2018,34
F,黑龙江八一农垦大学,2018,31
M,西北农林科技大学,2015,2087
M,西南医科大学,2018,20
M,西南石油大学,2018,36
F,河北科技大学,2018,75
M,川北医学院,2018,22
M,安徽师范大学,2018,26
M,六盘水师范学院,2018,24
M,陕西科技大学,2017,1229
M,广州科技贸易职业学院,2018,46
F,桂林理工大学,2016,1176
M,河北科技大学,2018,36
M,湖南财政经济学院,2016,388
M,燕山大学,2017,375
F,湖南师范大学,2018,4
M,云南大学,2018,18
F,长安大学,2017,566
F,陕西科技大学,2017,1343
M,黑龙江八一农垦大学,2018,60
M,六盘水师范学院,2018,40
M,湖南文理学院,2018,18
M,西南石油大学,2018,6
M,南京邮电大学,2018,32
F,南京邮电大学,2018,58
M,黑龙江大学,2018,48
M,赤峰学院,2018,22
M,湖南师范大学,2018,34
F,北京邮电大学,2017,209
M,广西科技大学鹿山学院,2015,69
M,川北医学院,2018,28
M,陕西科技大学,2018,14
M,湖南师范大学,2018,34
F,安徽师范大学,2018,20
M,南京邮电大学,2018,118
M,南京邮电大学,2018,24
M,西华大学,2018,4
F,西昌学院,2017,1833
F,河北农业大学,2018,30
M,湖南师范大学,2018,22
M,聊城大学,2018,18
M,河北师范大学,2018,53
M,佛山科学技术学院,2018,0
M,西南石油大学,2018,6
M,西南石油大学,2018,46
F,河北科技大学,2018,30
M,湖南师范大学,2018,42
M,塔里木大学,2014,20
M,杭州电子科技大学,2018,8
M,东莞理工学院城市学院,2018,6
M,南京邮电大学,2018,58
F,东莞理工学院城市学院,2018,43
M,南京信息职业技术学院,2016,86
M,赤峰学院,2018,26
M,大连海事大学,2018,54
M,内蒙古大学,2018,34
M,南京邮电大学,2018,4
M,陕西科技大学,2018,24
M,黑龙江八一农垦大学,2018,41
M,西南石油大学,2018,20
M,河北科技大学,2018,30
M,赤峰学院,2018,42
F,辽宁大学,2017,20
F,湖南工业大学,2018,10
M,石河子大学,2017,2454
M,广西师范大学,2017,452
F,闽江学院,2016,434
F,六盘水师范学院,2018,36
M,商洛学院,2016,3412
F,福建师范大学,2016,220
M,东莞理工学院城市学院,2017,39
F,赤峰学院,2018,32
M,兰州理工大学,2016,1762
F,西南石油大学,2018,42
M,四川邮电职业技术学院,2017,146
F,南京邮电大学,2018,22
M,西南石油大学,2018,34
F,内蒙古大学,2018,56
F,塔里木大学,2018,16
M,西南石油大学,2018,48
M,赤峰学院,2018,8
M,湖南师范大学,2018,
M,湖南师范大学,2018,20
M,湖南师范大学,2018,52
F,莆田学院,2017,3278
F,成都航空职业技术学院,2017,8361
M,河北科技大学,2018,30
M,广西科技大学鹿山学院,2017,62
F,西南石油大学,2018,12
F,湖南师范大学,2018,22
M,山东农业大学,2017,414
F,聊城大学,2018,50
F,广东第二师范学院,2017,9844
M,西华大学,2018,32
M,石家庄铁道大学,2018,4
M,河北金融学院,2018,23
M,西南石油大学,2018,29
M,华南农业大学,2018,18
F,陕西科技大学,2018,21
F,昆明理工大学,2018,24
F,安徽科技学院,2016,719
M,赤峰学院,2018,11
M,河北农业大学,2018,10
M,安徽师范大学,2018,33
F,陕西科技大学,2017,2259
M,南京邮电大学,2018,12
F,西南石油大学,2018,26
M,川南幼儿师范高等专科学校,2017,611
F,西华大学,2018,8
F,莆田学院,2017,1941
F,西南石油大学,2018,20
M,陕西科技大学,2018,30
M,南京邮电大学,2018,24
F,赤峰学院,2018,16
F,西南石油大学,2018,40
M,湖南师范大学,2018,32
F,内蒙古大学,2018,48
M,西南石油大学,2018,20
M,桂林理工大学,2017,162
F,西南石油大学,2018,48
F,西南石油大学,2018,120
M,西南石油大学,2018,22
M,湖南师范大学,2018,14
F,西南林业大学,2015,18
M,西南石油大学,2018,17
M,黑龙江八一农垦大学,2018,20
F,西南石油大学,2018,51
F,百色学院,2017,1725
M,湖南师范大学,2018,2
F,六盘水师范学院,2018,30
M,西南石油大学,2018,24
M,黑龙江八一农垦大学,2018,8
M,河北师范大学,2018,30
M,云南大学,2018,18
M,湘南学院,2015,38
F,桂林航天工业学院,2016,905
M,南京邮电大学,2018,20
M,成都农业科技职业学院,2017,2330
M,安徽师范大学,2018,30
M,昆明理工大学,2018,37
F,赤峰学院,2018,24
M,西华大学,2018,28
M,昆明理工大学,2018,8
F,湖南师范大学,2018,43
F,安徽师范大学,2018,40
M,河北科技大学,2018,10
M,广西科技大学鹿山学院,2017,66
F,川北医学院,2018,14
F,西南石油大学,2018,52
M,聊城大学,2018,18
M,内蒙古大学,2018,50
F,桂林理工大学,2015,3123
F,佛山科学技术学院,2018,30
M,川北医学院,2018,14
M,西华大学,2018,24
M,河北师范大学,2018,4
M,西北农林科技大学,2017,176
M,梧州职业学院,2017,128
M,贵州大学,2018,28
F,南京邮电大学,2018,28
M,兰州理工大学,2016,3969
M,南京邮电大学,2018,30
M,川北医学院,2018,28
M,西南石油大学,2018,24
M,西南石油大学,2018,28
F,川北医学院,2018,26
M,昆明理工大学,2016,49
M,云南大学,2018,18
M,西南石油大学,2018,38
M,桂林理工大学,2015,5097
F,湖南工业大学,2018,31
M,湖南师范大学,2018,34
M,西南医科大学,2018,24
M,塔里木大学,2017,36
M,河北农业大学,2018,22
M,川北医学院,2018,16
M,佛山科学技术学院,2018,24
F,安徽师范大学,2017,1254
M,五邑大学,2016,3601
M,河北科技大学,2018,40
F,陕西科技大学,2017,869
M,内蒙古大学,2018,36
M,西南石油大学,2018,28
F,四川财经职业学院,2016,7596
M,湖南工业大学,2018,42
M,西南石油大学,2018,22
M,河北金融学院,2018,6
M,广西民族大学,2017,705
M,东莞理工学院城市学院,2018,26
F,陕西科技大学,2018,12
F,陕西铁路工程职业技术学院,2017,2579
M,山东理工大学,2016,549
F,安徽师范大学,2018,33
F,厦门医学院,2018,53
M,长安大学,2017,85
M,南京邮电大学,2018,10
F,广西科技大学,2017,1303
M,陕西科技大学,2018,52
M,北京邮电大学,2017,380
M,贵州大学,2017,168
M,西南石油大学,2018,2
M,川北医学院,2018,30
M,南京邮电大学,2016,22
F,西南石油大学,2018,42
F,桂林航天工业学院,2017,959
M,南京邮电大学,2018,4
M,渤海大学,2017,97
F,大连海事大学,2018,38
F,河北农业大学,2018,38
M,广西师范大学,2016,871
M,河北师范大学,2018,28
F,西南石油大学,2018,32
M,河北农业大学,2018,4
M,昆明理工大学,2018,26
M,河北科技大学,2018,6
M,安徽师范大学,2018,33
M,山西大学,2018,18
M,内蒙古大学,2018,48
M,上海电力工业学校,2015,4
M,陕西科技大学,2018,32
M,山西大学,2018,18
F,厦门医学院,2018,78
F,西南石油大学,2018,30
F,河北师范大学,2018,49
M,陕西科技大学,2016,1430
F,石河子大学,2016,435
M,陕西科技大学,2018,10
F,内蒙古电子信息职业技术学院,2017,340
F,包头师范学院,2018,22
F,广西中医药大学,2017,1461
M,南京邮电大学,2018,57
M,河北农业大学,2018,22
M,北华航天工业学院,2016,263
M,陕西科技大学,2018,10
M,贵州职业技术学院,2017,65
F,遵义师范学院,2017,367
M,川北医学院,2018,8
M,石河子大学,2017,476
F,梧州职业学院,2017,428
F,河北农业大学,2018,36
M,贵州工程应用技术学院,2016,1654
M,安徽师范大学,2018,50
M,川北医学院,2018,28
M,陕西科技大学,2018,6
M,河北农业大学,2018,16
F,广西师范大学,2015,1053
M,杭州电子科技大学,2018,22
M,杭州电子科技大学,2018,4
M,赤峰学院,2018,8
M,佛山科学技术学院,2018,26
M,山东理工大学,2018,21
M,西南石油大学,2018,24
M,昆明理工大学,2016,92
M,南京邮电大学,2018,14
M,西南石油大学,2018,30
M,陕西科技大学,2017,587
M,河北师范大学,2018,30
M,亳州学院,2017,56
F,贵州医科大学,2017,2845
M,广西中医药大学,2018,32
M,西南石油大学,2018,36
M,南京邮电大学,2017,118
F,广西师范大学,2017,1584
F,铜仁幼儿师范高等专科学校,2017,339
M,贵州理工学院,2015,485
M,陕西科技大学,2017,958
F,西南石油大学,2018,28
F,川北医学院,2018,12
M,华北水利水电大学,2018,20
M,川北医学院,2018,34
F,右江民族医学院,2017,12395
M,广西师范大学,2017,1243
M,贵州民族大学,2017,132
M,贵州民族大学,2017,138
M,西南石油大学,2018,26
M,陕西科技大学,2018,42
M,川北医学院,2018,20
F,西南石油大学,2018,38
M,佛山科学技术学院,2018,47
M,河北师范大学,2018,18
F,湖南财政经济学院,2017,959
M,桂林理工大学,2017,704
M,云南艺术学院,2018,14
M,赤峰学院,2018,8
M,河北农业大学,2018,0
M,川北医学院,2018,29
M,大连理工大学,2017,41
M,大连海事大学,2018,16
F,东莞理工学院城市学院,2018,6
F,雅安职业技术学院,2017,879
M,厦门大学,2017,34
M,西北农林科技大学,2017,1091
M,西华大学,2018,12
F,湘南学院,2017,66
M,西南石油大学,2018,29
F,广西经贸职业技术学院,2017,1538
F,右江民族医学院,2016,4254
F,赤峰学院,2018,20
M,陕西科技大学,2016,412
F,佛山科学技术学院,2018,28
F,柳州职业技术学院,2016,890
M,南方医科大学,2018,4
F,东莞理工学院城市学院,2018,22
M,湖南工业大学,2018,16
F,成都航空职业技术学院,2017,5341
M,佛山科学技术学院,2018,20
F,广西师范大学,2017,721
F,河北农业大学,2018,26
F,赤峰学院,2018,14
M,河北师范大学,2018,15
M,陕西科技大学,2015,399
M,贵州大学,2018,20
M,西北农林科技大学,2017,1222
M,内蒙古大学,2018,43
M,南京邮电大学,2018,6
M,四川工程职业技术学院,2017,1479
M,贵州大学,2014,16
M,四川建筑职业技术学院,2016,137
M,市卫生学校,2015,46
F,华南农业大学,2018,28
F,西南医科大学,2015,11740
F,福建工程学院,2017,978
M,华南农业大学,2018,24
F,广西科技大学鹿山学院,2017,2274
M,成都农业科技职业学院,2017,1221
M,大连海事大学,2018,26
M,五邑大学,2016,885
M,西南石油大学,2018,20
M,山东科技大学,2017,348
M,福建师范大学,2016,126
M,赤峰学院,2018,38
F,广西英华国际职业学院,2017,125
M,湖南工业大学,2018,34
M,柳州城市职业学院,2017,97
F,昆明理工大学,2018,23
M,山西大学,2018,29
M,赤峰学院,2018,26
F,厦门医学院,2018,35
F,华侨大学,2016,97
M,河北农业大学,2016,304
F,陕西科技大学,2016,2454
F,佛山科学技术学院,2017,406
M,江苏第二师范学院,2018,10
M,湖南工业大学,2018,12
F,广西经贸职业技术学院,2017,3155
F,石河子大学,2017,253
F,成都理工大学,2017,1777
M,大连海事大学,2018,31
M,川北医学院,2018,8
M,南京邮电大学,2018,26
M,西南石油大学,2018,34
M,东莞理工学院城市学院,2016,0
F,福建师范大学,2016,211
F,广西医科大学,2013,1601
M,南京邮电大学,2018,30
F,广西师范大学,2016,2343
F,莆田学院,2015,3473
F,杭州电子科技大学信息工程学院,2016,203
M,浙江水利水电学院,2018,335
M,东莞理工学院城市学院,2018,32
M,南京邮电大学,2018,22
F,山东理工大学,2017,752
M,广西师范大学,2017,1106
F,西华师范大学,2017,126
M,广西民族大学相思湖学院,2016,2945
M,广西师范大学,2017,856
M,西华大学,2017,2634
M,广西师范大学,2016,539
M,江苏第二师范学院,2018,25
F,安徽师范大学,2018,22
M,湖南工业大学,2018,8
M,莆田学院,2017,453
M,西华大学,2018,51
F,广西科技大学,2016,347
M,广西电力职业技术学院,2018,4
F,广西师范大学,2017,431
M,川北医学院,2018,20
M,西南石油大学,2018,30
F,赤峰学院,2018,14
F,广西师范大学,2017,886
F,杭州电子科技大学,2018,52
F,广西师范大学,2017,10043
M,赤峰学院,2018,50
M,聊城大学,2018,34
M,河北科技大学,2018,6
F,西安医学院,2017,830
M,聊城大学,2018,28
M,中国医科大学,2018,19
F,河北农业大学,2016,515
M,安庆师范大学,2017,20
M,安徽师范大学,2016,16
F,陕西科技大学,2017,3055
M,渭南师范学院,2015,2696
M,内蒙古大学,2015,27
F,安徽师范大学,2017,152
M,湖南工业大学,2018,50
M,河北科技大学,2018,8
M,湖南工业大学,2018,20
M,六盘水师范学院,2018,32
F,怀化学院,2017,2072
M,广西中医药大学赛恩斯新医药学院,2016,1224
F,湖南师范大学,2018,64
M,西南石油大学,2018,27
M,西安航空职业技术学院,2017,512
F,赤峰学院,2018,36
M,闽江学院,2017,250
F,聊城大学,2018,26
F,广西师范大学,2016,3723
M,南京邮电大学,2018,42
M,河北师范大学,2018,22
M,聊城大学,2018,60
M,湖南师范大学,2018,20
M,贺州学院,2017,1572
F,广东农工商职业技术学院,2016,4628
M,大连海事大学,2018,8
M,安庆师范大学,2017,6
F,贵州工程应用技术学院,2016,4316
F,安徽师范大学,2018,32
F,毕节医学高等专科学校,2017,744
M,亳州学院,2016,17
M,南京邮电大学,2018,82
M,贵州工程应用技术学院,2016,228
F,广西师范大学,2016,6147
M,湖南工业大学,2018,32
M,陕西科技大学,2018,87
M,兰州理工大学,2017,3265
M,西南石油大学,2018,32
F,商洛学院,2017,784
M,桂林师范高等专科学校,2015,1349
F,陕西铁路工程职业技术学院,2017,2558
M,厦门大学,2018,54
M,南京邮电大学,2018,14
F,昆明理工大学,2018,9
F,上海杉达学院,2017,2341
M,安徽师范大学,2018,28
M,内蒙古民族幼儿师范高等专科学校,2015,214
M,川北医学院,2018,32
M,柳州职业技术学院,2016,2827
M,山东理工大学,2018,60
F,兰州理工大学,2016,1550
F,广西师范大学,2017,1023
F,陕西科技大学,2018,43
M,广西师范大学,2017,262
M,南宁学院,2016,91
M,西南石油大学,2018,30
M,北华航天工业学院,2017,938
F,陕西科技大学,2017,1844
M,西南医科大学,2018,108
M,西南石油大学,2018,64
F,湘南学院,2017,2123
F,安徽师范大学,2018,73
F,河北建材职业技术学院,2017,318
F,河北师范大学,2018,27
F,湖南师范大学,2018,8
M,西南科技大学,2015,2155
F,湖南工业大学,2018,10
M,亳州学院,2017,1509
M,南京邮电大学,2018,40
F,杭州电子科技大学,2018,45
F,南京邮电大学,2018,32
F,广西中医药大学,2016,400
M,内蒙古大学,2018,52
M,陕西科技大学,2017,1629
M,兴义民族师范学院,2017,165
M,三明学院,2015,4014
F,湖南文理学院,2018,50
M,西南医科大学,2018,42
M,广西师范大学,2016,902
M,六盘水师范学院,2018,20
M,陕西科技大学,2018,30
M,陕西科技大学,2018,18
M,广西中医药大学,2015,2460
M,聊城大学,2017,56
M,陕西科技大学,2018,48
M,广西民族大学,2017,133
F,湖南师范大学,2018,12
M,兰州理工大学,2017,171
M,河北科技大学,2018,16
F,广西师范大学,2016,1851
M,聊城大学,2018,62
F,浙江理工大学,2015,52
F,广西师范大学,2016,1221
M,陕西科技大学,2018,50
F,聊城大学,2018,42
F,赤峰学院,2018,16
M,安徽师范大学,2017,30
M,南京邮电大学,2018,32
M,内蒙古民族大学,2014,2
M,陕西科技大学,2018,26
M,华北水利水电大学,2018,6
F,福建医科大学,2016,2587
M,包头师范学院,2018,6
F,长沙民政职业技术学院,2017,1876
F,广西民族大学,2015,770
M,陕西科技大学,2018,51
M,南京邮电大学,2018,6
M,西南石油大学,2018,36
F,广西经贸职业技术学院,2017,260
M,河北农业大学,2018,0
M,南京邮电大学,2018,24
M,广西中医药大学赛恩斯新医药学院,2016,644
M,赤峰学院,2018,32
F,西南石油大学,2015,176
M,西华大学,2018,25
M,贵州大学,2018,105
M,内蒙古大学,2018,40
M,广西师范大学,2015,1559
M,湖南工业大学,2018,24
M,浙江理工大学,2016,115
M,佳木斯大学,2016,422
M,河北大学,2018,26
F,西南石油大学,2018,26
M,杭州电子科技大学,2018,38
M,玉溪师范学院,2017,1175
M,杭州电子科技大学,2018,18
M,湖南工业大学,2018,4
M,陕西科技大学,2018,56
M,西南石油大学,2018,33
M,西南林业大学,2016,24
M,安徽师范大学,2018,42
F,成都理工大学,2016,1606
F,四川信息职业技术学院,2016,6865
M,西南医科大学,2018,12
M,莆田学院,2016,789
M,内蒙古大学,2018,58
M,广东药科大学,2017,934
M,宁德职业技术学院,2017,1853
F,西华大学,2016,2922
M,河北农业大学,2018,26
M,西华大学,2018,16
M,湖南工业大学,2018,62
M,唐山学院,2017,6
F,湖南财政经济学院,2017,1170
F,南京邮电大学,2018,28
M,河北农业大学,2018,33
M,内蒙古财经大学,2015,14
M,南京邮电大学,2018,139
F,陕西铁路工程职业技术学院,2017,1357
M,南京邮电大学,2018,16
M,西南医科大学,2018,26
F,河北科技大学,2018,38
F,广西中医药大学赛恩斯新医药学院,2017,2157
M,广西师范大学,2017,2835
M,成都农业科技职业学院,2017,2161
M,贵州大学,2018,30
M,内蒙古工业大学,2016,180
F,西华大学,2017,10366
F,西南石油大学,2018,28
M,河北师范大学,2018,6
M,南京邮电大学,2018,28
M,四川交通职业技术学院,2016,1505
M,河北科技大学,2018,20
F,陕西科技大学,2018,138
M,南京邮电大学,2018,30
F,包头师范学院,2018,23
M,湖南工业大学,2018,20
F,广西师范大学,2016,5747
F,西南石油大学,2018,36
M,南京邮电大学,2018,10
F,河北科技大学,2018,34
M,安徽师范大学,2017,46
M,华北水利水电大学,2018,4
M,西华大学,2018,32
M,中南财经政法大学,2018,9
M,杭州电子科技大学,2018,26
M,广西师范大学,2016,704
M,南京邮电大学,2018,40
M,湖南工业大学,2018,6
M,内蒙古大学,2018,18
M,西南石油大学,2018,46
F,云南艺术学院,2017,328
M,湖南工业大学,2018,6
F,河北农业大学,2018,64
F,南京邮电大学,2018,40
F,广西师范大学,2017,857
F,内蒙古大学,2018,38
M,佛山科学技术学院,2018,35
M,内蒙古大学,2018,45
M,西南石油大学,2018,50
F,内蒙古大学,2018,34
M,广西电力职业技术学院,2018,36
F,河北科技大学,2018,6
F,广西师范大学,2016,1528
M,湖南工业大学,2018,22
M,中国石油大学（华东）,2014,5823
M,陕西科技大学,2018,22
M,桂林理工大学,2017,128
M,内蒙古大学,2018,34
M,西南石油大学,2018,8
M,陕西科技大学,2018,8
M,南京邮电大学,2018,12
M,广西师范大学,2016,1356
M,成都理工大学,2017,1999
M,南京邮电大学,2018,20
F,广西民族大学,2017,1440
M,河北农业大学,2018,20
M,河北金融学院,2018,4
M,承德石油高等专科学校,2017,182
M,昆明理工大学,2017,106
M,佛山科学技术学院,2018,26
M,杭州电子科技大学,2018,22
M,安徽师范大学,2018,30
M,东莞理工学院城市学院,2018,18
M,湖南师范大学,2018,18
M,云南大学,2018,4
M,石家庄铁道大学,2018,30
M,兰州理工大学,2014,58
M,佛山科学技术学院,2018,34
M,广东轻工职业技术学院,2016,35
M,湖南工业大学,2018,20
F,赤峰学院,2018,24
M,河北农业大学,2018,40
M,河北金融学院,2018,34
M,内蒙古大学,2018,44
M,南京邮电大学,2018,10
M,湖南工业大学,2018,4
M,福建医科大学,2017,1669
M,陕西科技大学,2018,34
M,聊城大学,2018,18
F,石河子大学,2017,898
M,昆明冶金高等专科学校,2016,24
M,石河子大学,2017,695
F,杭州电子科技大学,2018,133
F,云南大学,2018,14
F,包头师范学院,2018,52
M,中山大学新华学院,2017,18
F,广西师范大学,2017,251
F,西华大学,2018,20
M,陕西科技大学,2018,21
M,河北师范大学,2018,24
M,西南石油大学,2018,18
F,福建师范大学,2017,2140
M,东北农业大学,2016,56
M,安徽师范大学,2018,18
F,安徽师范大学,2018,44
M,昆明学院,2017,1185
F,广西民族大学,2017,304
M,云南林业职业技术学院,2017,32
F,陕西科技大学,2018,50
M,中国医科大学,2018,34
F,聊城大学,2018,2
F,佛山科学技术学院,2018,22
F,西南石油大学,2018,48
F,贵州大学,2018,44
M,南京邮电大学,2018,10
M,昆明理工大学,2018,57
F,西华师范大学,2017,367
F,广西师范大学,2017,329
F,湖南师范大学,2018,63
M,陕西科技大学,2016,2350
M,西南医科大学,2016,2561
M,大连海事大学,2018,26
M,湖南工业大学,2017,2
M,河北大学,2018,22
M,厦门大学,2017,284
M,湖南师范大学,2018,22
F,内蒙古大学,2018,139
M,南京邮电大学,2018,2
M,巢湖学院,2016,12
M,西南医科大学,2017,260
M,河北经贸大学,2018,23
F,福建工程学院,2017,6013
M,中国矿业大学,2017,65
F,北海职业学院,2017,153
F,佛山科学技术学院,2018,36
F,广西中医药大学赛恩斯新医药学院,2017,474
M,湖南工业大学,2018,23
M,赤峰学院,2018,8
M,内蒙古大学,2018,40
F,广西民族大学,2017,305
M,包头师范学院,2018,32
M,南京邮电大学,2018,36
M,西南民族大学,2017,6
M,西南石油大学,2018,18
F,湖南财政经济学院,2016,61
F,西南科技大学,2017,299
M,昆明理工大学,2018,20
F,包头师范学院,2018,46
M,西华大学,2016,268
M,河北大学,2018,30
F,贵州理工学院,2017,2479
M,赤峰学院,2018,39
F,广西中医药大学赛恩斯新医药学院,2017,1135
M,河北师范大学,2018,8
M,西南石油大学,2018,50
M,南京邮电大学,2018,58
M,陕西科技大学,2018,100
M,赤峰学院,2018,64
M,石河子大学,2017,851
M,河北农业大学,2018,31
M,陕西科技大学,2018,18
M,中国医科大学,2018,9
M,四川信息职业技术学院,2016,4116
M,云南能源职业技术学院,2016,32
M,南京邮电大学,2018,43
M,中国医科大学,2018,23
M,昆明理工大学,2017,159
F,广西民族大学,2017,296
M,陕西科技大学,2018,44
